sequence,mode,stage,candidate_key,S,M,N,F,i,u0,status,strict_evidence,feasible,c1,c2,p30_reachable,p30_all,max_delay_s,reachable_count,late_reachable_count,unreachable_count,reason
0,discover,low,"[90,16,22,50.0,0.0,0.0]",1440,90,16,22,50.0,0.0,deferred,False,False,0.998810015776828,0.9614739531202173,0.24765984451848327,0.2438300531084036,0.1775269385601602,12606,9484,198,not_promoted_after_low
1,discover,low,"[90,16,22,50.0,0.0,11.25]",1440,90,16,22,50.0,11.25,deferred,False,False,0.9988617542213134,0.9612064179625358,0.24722838137472283,0.2438300531084036,0.17650155401291565,12628,9506,176,not_promoted_after_low
2,discover,low,"[90,16,22,50.0,0.0,16.875]",1440,90,16,22,50.0,16.875,deferred,False,False,0.9988617542213134,0.9611096627867326,0.24848484848484848,0.24336144954701655,0.1764919271649096,12540,9424,264,not_promoted_after_low
3,discover,low,"[90,16,22,50.0,0.0,5.625]",1440,90,16,22,50.0,5.625,deferred,False,False,0.9989134926657994,0.9612586435330425,0.2463515228426396,0.24258044361137146,0.17761171904606676,12608,9502,196,not_promoted_after_low
4,discover,low,"[90,16,22,50.25,0.0,11.25]",1440,90,16,22,50.25,11.25,deferred,False,False,0.998913492665799,0.9628733496113471,0.26069052898321193,0.2571071540143705,0.1762749425444021,12628,9336,176,not_promoted_after_low
5,discover,low,"[90,16,22,50.25,0.0,5.625]",1440,90,16,22,50.25,5.625,deferred,False,False,0.9990169695547708,0.9621210854343012,0.25904187817258884,0.2550765385816932,0.17732244209693626,12608,9342,196,not_promoted_after_low
6,discover,low,"[90,16,22,50.25,0.0,0.0]",1440,90,16,22,50.25,0.0,deferred,False,False,0.9988617542213136,0.9627035720551366,0.2589243217515469,0.2549203373945642,0.17729603831211072,12606,9342,198,not_promoted_after_low
7,discover,low,"[90,16,22,50.25,0.0,16.875]",1440,90,16,22,50.25,16.875,deferred,False,False,0.9988617542213134,0.962466732893599,0.2606272886483044,0.25570134333020933,0.17626626637437062,12562,9288,242,not_promoted_after_low
8,discover,low,"[120,12,80,50.0,0.0,7.5]",1440,120,12,80,50.0,7.5,deferred,False,False,0.9991857614067455,0.961069697532581,0.21868166198063105,0.21868166198063105,0.22350360805625252,12804,10004,0,not_promoted_after_low
9,discover,low,"[120,12,80,50.0,0.0,15.0]",1440,120,12,80,50.0,15.0,deferred,False,False,0.9991932834531176,0.9598340594700173,0.21805685723211496,0.21805685723211496,0.22344883396976895,12804,10012,0,not_promoted_after_low
10,discover,low,"[120,12,80,50.0,0.0,0.0]",1440,120,12,80,50.0,0.0,deferred,False,False,0.9992914903052477,0.9599439681746007,0.22071227741330834,0.22071227741330834,0.22352988121243053,12804,9978,0,not_promoted_after_low
