sequence,mode,stage,candidate_key,S,M,N,F,i,u0,status,strict_evidence,feasible,c1,c2,p30_reachable,p30_all,max_delay_s,reachable_count,late_reachable_count,unreachable_count,reason
0,saturation,low,"[37,40,0,50.0,0.0,0.0]",1480,37,40,0,50.0,0.0,active,False,False,0.9973855080505157,0.9503102881667024,0.6771541501976285,0.669009684473602,0.07071460168768837,12650,4084,154,incomplete
1,saturation,low,"[37,40,1,50.0,0.0,0.0]",1480,37,40,1,50.0,0.0,active,False,False,0.9963080947587805,0.9476404197249734,0.6740081224617307,0.6740081224617307,0.059846658768915664,12804,4174,0,incomplete
2,saturation,low,"[37,40,2,50.0,0.0,0.0]",1480,37,40,2,50.0,0.0,active,False,False,0.9966232945944983,0.9393321772709109,0.686762360446571,0.6726023117775695,0.07035500075168985,12540,3928,264,incomplete
3,saturation,low,"[37,40,3,50.0,0.0,0.0]",1480,37,40,3,50.0,0.0,active,False,False,0.9928208285512916,0.9396187388117642,0.6651046547953764,0.6651046547953764,0.06045736263564205,12804,4288,0,incomplete
4,saturation,low,"[37,40,4,50.0,0.0,0.0]",1480,37,40,4,50.0,0.0,active,False,False,0.9946352586680661,0.9304806614129679,0.6638777152051488,0.6444860980943455,0.06962177677057356,12430,4178,374,incomplete
5,saturation,low,"[37,40,5,50.0,0.0,0.0]",1480,37,40,5,50.0,0.0,active,False,False,0.9980558405272614,0.9236420682829142,0.6744767260231178,0.6744767260231178,0.06793915916078086,12804,4168,0,incomplete
6,saturation,low,"[37,40,6,50.0,0.0,0.0]",1480,37,40,6,50.0,0.0,active,False,False,0.9957064659166999,0.9210287332763348,0.6796210052995022,0.6610434239300219,0.05849231836456115,12454,3990,350,incomplete
7,saturation,low,"[37,40,7,50.0,0.0,0.0]",1480,37,40,7,50.0,0.0,active,False,False,0.9940744072540603,0.9131412179127221,0.6528497409326425,0.6494845360824743,0.06321899281044459,12738,4422,66,incomplete
8,saturation,low,"[37,40,8,50.0,0.0,0.0]",1480,37,40,8,50.0,0.0,active,False,False,0.9898053148422128,0.9083038505718585,0.6403347280334728,0.5976257419556389,0.056709844939617324,11950,4298,854,incomplete
9,saturation,low,"[37,40,9,50.0,0.0,0.0]",1480,37,40,9,50.0,0.0,active,False,False,0.9907599666073982,0.9055862334243459,0.637502087159793,0.5963761324586067,0.06234502575677968,11978,4342,826,incomplete
10,saturation,low,"[37,40,10,50.0,0.0,0.0]",1480,37,40,10,50.0,0.0,rejected,True,False,0.9867106872066349,0.9044492993343444,0.6330726904141326,0.4301456119637938,0.06253283836311797,6906,2534,3258,coverage_upper_bound
11,saturation,low,"[37,40,11,50.0,0.0,0.0]",1480,37,40,11,50.0,0.0,rejected,True,False,0.9799241981244495,0.898655529928171,0.6440619621342513,0.566969696969697,0.06644061299250066,5810,2068,790,coverage_upper_bound
12,saturation,low,"[37,40,12,50.0,0.0,0.0]",1480,37,40,12,50.0,0.0,rejected,True,False,0.9739284661378134,0.8887716734709594,0.6440204746393672,0.5376845376845377,0.0616874313177148,4298,1530,850,coverage_upper_bound
13,saturation,low,"[37,40,13,50.0,0.0,0.0]",1480,37,40,13,50.0,0.0,rejected,True,False,0.980645660995137,0.8932495036445433,0.6430584918957012,0.5317599067599068,0.0687221748895562,5676,2026,1188,coverage_upper_bound
14,saturation,low,"[37,40,14,50.0,0.0,0.0]",1480,37,40,14,50.0,0.0,rejected,True,False,0.9773043104423034,0.8898477283691942,0.6477181745396317,0.5447811447811448,0.06841221115381389,4996,1760,944,coverage_upper_bound
15,saturation,low,"[37,40,15,50.0,0.0,0.0]",1480,37,40,15,50.0,0.0,rejected,True,False,0.9876617383208244,0.9065651512372626,0.648,0.5537694013303769,0.07551644640545475,9250,3256,1574,coverage_upper_bound
16,saturation,low,"[37,40,16,50.0,0.0,0.0]",1480,37,40,16,50.0,0.0,rejected,True,False,0.9842989665113583,0.9070283033820974,0.6491228070175439,0.5692307692307692,0.0705165525193407,7524,2640,1056,coverage_upper_bound
17,saturation,low,"[37,40,17,50.0,0.0,0.0]",1480,37,40,17,50.0,0.0,active,False,False,0.9900284245137198,0.915329548919722,0.6629776932388034,0.598875351452671,0.0797239679710205,11566,3898,1238,incomplete
18,saturation,low,"[37,40,18,50.0,0.0,0.0]",1480,37,40,18,50.0,0.0,active,False,False,0.9926006980040225,0.921833176637751,0.6614911855086527,0.6388628553577007,0.07786796191182277,12366,4186,438,incomplete
19,saturation,low,"[37,40,19,50.0,0.0,0.0]",1480,37,40,19,50.0,0.0,active,False,False,0.9962459872433566,0.9227720309483828,0.6690590111642744,0.6552639800062481,0.08358554879886755,12540,4150,264,incomplete
20,saturation,low,"[37,40,20,50.0,0.0,0.0]",1480,37,40,20,50.0,0.0,active,False,False,0.9973246888775036,0.9345841404395526,0.6680724773508279,0.6680724773508279,0.08359545263347058,12804,4250,0,incomplete
21,saturation,low,"[37,40,21,50.0,0.0,0.0]",1480,37,40,21,50.0,0.0,active,False,False,0.9976717699981432,0.946624008727942,0.673305493093479,0.654795376444861,0.08846235062646912,12452,4068,352,incomplete
22,saturation,low,"[37,40,22,50.0,0.0,0.0]",1480,37,40,22,50.0,0.0,active,False,False,0.997801723568533,0.9466798446319019,0.6666666666666666,0.6666666666666666,0.08299573033840503,12804,4268,0,incomplete
23,saturation,low,"[37,40,23,50.0,0.0,0.0]",1480,37,40,23,50.0,0.0,active,False,False,0.9976717699981428,0.9532774864288923,0.6677890011223344,0.6505779443923774,0.05689274626854687,12474,4144,330,incomplete
24,saturation,low,"[37,40,24,50.0,0.0,0.0]",1480,37,40,24,50.0,0.0,active,False,False,0.9988171854197787,0.958082387199441,0.6583880037488284,0.6583880037488284,0.09622955862053802,12804,4374,0,incomplete
25,saturation,low,"[37,40,25,50.0,0.0,0.0]",1480,37,40,25,50.0,0.0,active,False,False,0.997967370895985,0.958281599779554,0.6467263306641545,0.6433926897844423,0.08776524258018811,12738,4500,66,incomplete
26,saturation,low,"[37,40,26,50.0,0.0,0.0]",1480,37,40,26,50.0,0.0,active,False,False,1.0,0.965278557569286,0.6279287722586692,0.6279287722586692,0.09243708334309678,12804,4764,0,incomplete
27,saturation,low,"[37,40,27,50.0,0.0,0.0]",1480,37,40,27,50.0,0.0,active,False,False,0.998353829889185,0.9669692178666647,0.6197778125488969,0.6187129022180569,0.1047498509482835,12782,4860,22,incomplete
28,saturation,low,"[37,40,28,50.0,0.0,0.0]",1480,37,40,28,50.0,0.0,active,False,False,1.0,0.9655862525009852,0.6173070915338956,0.6173070915338956,0.10973053385219636,12804,4900,0,incomplete
29,saturation,low,"[37,40,29,50.0,0.0,0.0]",1480,37,40,29,50.0,0.0,active,False,False,0.9988160702489742,0.9677942189495684,0.6680724773508279,0.6680724773508279,0.06501399116318536,12804,4250,0,incomplete
30,saturation,low,"[37,40,30,50.0,0.0,0.0]",1480,37,40,30,50.0,0.0,active,False,False,0.9992023099087638,0.9682183653779984,0.6754139331458919,0.6754139331458919,0.08133725163411655,12804,4156,0,incomplete
31,saturation,low,"[37,40,31,50.0,0.0,0.0]",1480,37,40,31,50.0,0.0,active,False,False,0.9997930462220569,0.9690291345749841,0.6701611641370677,0.669009684473602,0.08983088920244242,12782,4216,22,incomplete
32,saturation,low,"[37,40,32,50.0,0.0,0.0]",1480,37,40,32,50.0,0.0,active,False,False,0.9996209532937105,0.9694482273323416,0.6855670103092784,0.6855670103092784,0.07736442169655655,12804,4026,0,incomplete
33,saturation,low,"[37,40,33,50.0,0.0,0.0]",1480,37,40,33,50.0,0.0,active,False,False,0.9994369192904783,0.9664743688333118,0.6804881865122829,0.6793189628241174,0.07231027206656589,12782,4084,22,incomplete
34,saturation,low,"[37,40,34,50.0,0.0,0.0]",1480,37,40,34,50.0,0.0,active,False,False,0.9996997090142669,0.9593214712581503,0.6880662293033427,0.6880662293033427,0.071422230907513,12804,3994,0,incomplete
35,saturation,low,"[37,40,35,50.0,0.0,0.0]",1480,37,40,35,50.0,0.0,active,False,False,0.997471881680761,0.9605912566333202,0.6903457987795337,0.6891596376132458,0.06916634226378696,12782,3958,22,incomplete
36,saturation,low,"[37,40,36,50.0,0.0,0.0]",1480,37,40,36,50.0,0.0,active,False,False,0.9965075172815914,0.950655480468605,0.6663542642924086,0.6663542642924086,0.06529282948831852,12804,4272,0,incomplete
37,saturation,low,"[40,37,0,50.0,0.0,0.0]",1480,40,37,0,50.0,0.0,active,False,False,0.9954779968707332,0.9438411990492525,0.669165885660731,0.669165885660731,0.07553579749741118,12804,4236,0,incomplete
38,saturation,low,"[40,37,1,50.0,0.0,0.0]",1480,40,37,1,50.0,0.0,active,False,False,0.9984962611800458,0.9335858997488783,0.6671352702280537,0.6671352702280537,0.08004603174723425,12804,4262,0,incomplete
39,saturation,low,"[40,37,2,50.0,0.0,0.0]",1480,40,37,2,50.0,0.0,active,False,False,0.9969824944720213,0.9291762236618544,0.6589869023197097,0.6522961574507966,0.07397983184584783,12674,4322,130,incomplete
40,saturation,low,"[40,37,3,50.0,0.0,0.0]",1480,40,37,3,50.0,0.0,active,False,False,0.9966080534045416,0.9208315493807916,0.6680724773508279,0.6680724773508279,0.08694059093953237,12804,4250,0,incomplete
41,saturation,low,"[40,37,4,50.0,0.0,0.0]",1480,40,37,4,50.0,0.0,active,False,False,0.9944683019322265,0.9123318898303536,0.6683738796414853,0.6522961574507966,0.08111317735641228,12496,4144,308,incomplete
42,saturation,low,"[40,37,5,50.0,0.0,0.0]",1480,40,37,5,50.0,0.0,active,False,False,0.9921595832040685,0.9159977917950404,0.6697906904092471,0.6697906904092471,0.06941438475703154,12804,4228,0,incomplete
43,saturation,low,"[40,37,6,50.0,0.0,0.0]",1480,40,37,6,50.0,0.0,active,False,False,0.9941464990504344,0.9003917600658535,0.6576402321083172,0.6373008434864105,0.06707222588431097,12408,4248,396,incomplete
44,saturation,low,"[40,37,7,50.0,0.0,0.0]",1480,40,37,7,50.0,0.0,active,False,False,0.9965242157416507,0.9000178784734983,0.6531948881789137,0.6387066541705717,0.07427642521572464,12520,4342,284,incomplete
45,saturation,low,"[40,37,8,50.0,0.0,0.0]",1480,40,37,8,50.0,0.0,active,False,False,0.9911177271419391,0.889934131291163,0.6696530379540642,0.6421430802874102,0.06677980257325142,12278,4056,526,incomplete
46,saturation,low,"[40,37,9,50.0,0.0,0.0]",1480,40,37,9,50.0,0.0,active,False,False,0.9900420121454377,0.8948288253122815,0.6223055295220243,0.6223055295220243,0.07078445384814154,12804,4836,0,incomplete
